tilt,key_resp.keys,key_resp.corr,hit,miss,fa,cr,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
1,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
4,down,1,,,,1,,,,,,,,
3,down,1,,,,1,,,,,,,,
1,up,0,,,1,,,,,,,,,
4,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
2,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
4,down,1,,,,1,,,,,,,,
4,down,1,,,,1,,,,,,,,
4,down,1,,,,1,,,,,,,,
-2,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
-1,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
3,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
-2,down,1,,,,1,,,,,,,,
-4,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
2,down,1,,,,1,,,,,,,,
4,down,1,,,,1,,,,,,,,
1,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,down,0,,1,,,,,,,,,,
0,down,0,,1,,,,,,,,,,
0,down,0,,1,,,,,,,,,,
3,down,1,,,,1,,,,,,,,
1,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
2,down,1,,,,1,,,,,,,,
-2,down,1,,,,1,,,,,,,,
1,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
-2,up,0,,,1,,,,,,,,,
2,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
4,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
4,down,1,,,,1,,,,,,,,
-4,down,1,,,,1,,,,,,,,
2,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
3,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
3,down,1,,,,1,,,,,,,,
3,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
2,down,1,,,,1,,,,,,,,
-2,down,1,,,,1,,,,,,,,
-3,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
1,up,0,,,1,,,,,,,,,
-2,down,1,,,,1,,,,,,,,
-3,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,,,,
2,down,1,,,,1,,,,,,,,
-1,up,0,,,1,,,,,,,,,
2,up,0,,,1,,,,,,,,,
-3,down,1,,,,1,,,,,,,,
0,up,1,1,,,,,,,,hit,miss,false alarm,correct rejection
0,up,1,1,,,,,,,,48,3,9,40
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,,,,
-2,down,1,,,,1,,,,,prop hit= hit/hit+miss ,,,
2,down,1,,,,1,,,,,0.941176471,,,
0,up,1,1,,,,,,,,,,,
-4,down,1,,,,1,,,,,prop fa= fa/fa+corr rejection,,,
-5,down,1,,,,1,,,,,0.183673469,,,
0,up,1,1,,,,,,,,,,,
0,up,1,1,,,,,,,,d prime= z(prop hit) -z(prop fa),,,
0,up,1,1,,,,,,,,2.466180551,,,
2,up,0,,,1,,,,,,,,,
0,up,1,1,,,,,,,,c= -z(prop hit) + z(prop fa)/ 2,,,
2,up,0,,,1,,,,,,-2.015453511,,,
3,up,0,,,1,,,,,,tendency to say yes more often ,,,
0,up,1,1,,,,,,,,liberal criterion ,,,
0,up,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,48,3,9,40,,,,,,,,
